text,price
Gigabyte Technology GV-N3060AORUS E-12GD Tarjeta gráfica NVIDIA GeForce RTX 3060 12 GB GDDR6,725.38
Persdico VCG XPB 1GB DDR2 SDRAM PCI-Express 2.0 Tarjeta de video Video-Grafikkarte Tarjeta gráfica PCI-Express 2.0 DDR2,29.00
"HP - Tarjeta gráfica (Quadro M2000, 4 GB, GDDR5, 128 bit, 1920 x 1080 Pixeles, PCI Express x16 3.0)",698.00
"Tarjeta gráfica Palit GeForce RTX 3090 GamingPro 24GB GDDR6X Ray-Tracing LHR, 10496 Core, 1395MHz GPU, 1695MHz Boost, 3 x DisplayPort, HDMI, Advanced TurboFan 3.0",3.298.41
"MSI GeForce RTX 3080 - Tarjeta gráfica Gaming Z Trio 10G LHR RTX 3080, 1830MHz, Tri FROZR Fan, 10 GB GDDR6X, 320 bit, PCI Express Gen 4, DisplayPort v1.4a, HDMI, Zero Frozr",1.596.90
UOGAR Tarjeta gráfica 1GB 64-bit 512M DDR3 High Definition All-in-One Desktop GPU Card Accesorios de computadora para Juegos de PC,20.71
Tarjeta Gráfica Biostar Radeon RX560 Dual Cooling/ 4GB DDR5,20.71
"Msi Rtx 3090 Gaming X Trio 24G - Tarjeta Gráfica (24 Gb, Gddr6X, 384 Bit, 7680 X 4320 Pixeles, Pci Express Gen 4)",2.853.00
"ASUS Dual NVIDIA GeForce RTX 3060 Ti V2 - Tarjeta Gráfica Gaming (PCIe 4.0, 8GB GDDR6 , LHR, HDMI 2.1, DP 1.4a, Ventiladores Axial-Tech, Dual BIOS, Placa de Protección, GPU Tweak II)",920.00
"PowerColor Fighter AXRX 6600XT 8GBD6-3DH, AMD Radeon RX 6600XT, Tarjeta Gráfica para Juegos",817.60
"Gainward 426018336-3576 NVIDIA GeForce GT 710 2GB - Tarjeta gráfica (Pasivo, Windows 10 Education, Windows 10 Education x64, Windows 10 Enterprise, Windows 10 Enterprise x64, Wi, NVIDIA, GeForce GT 710, DDR3-SDRAM, PCI Express 2.0)",97.41
"EVGA GeForce RTX 3060 Ti XC GAMING, 08G-P5-3663-KL, 8GB GDDR6, DualFan, Metal Backplate, LHR",798.93
"NVIDIA Quadro GV100 Quadro GV100 - Tarjeta gráfica (32 GB, PCIe 3.0 x16, 4 x DisplayPort, para Workstation Z4 G4 (1000 W, 750 W), Z8 G4",16.000.89
"SAPLOS NVIDIA GT 1030 Tarjeta Gráfica, 2GB, GDDR5, 64 bits, DVI-D/HDMI, GPU de Computadora, Tarjeta de Video PC, Graphics Cards, Baja Potencia, PCI Express x4",159.99
ASUS Tarjeta Grafica PH-GTX1650-OC 4GB GDDR6 PCIE3.0 1*HDMI/1*DPORT/1*DVI-D,307.23
"Vbestlife Tarjeta gráfica para PC, Tarjeta gráfica HD6450 2G 64bit DDR3 con Ranura PCI Express 3.0, para computadora de Escritorio de Oficina",72.99
"upHere GPU Brace Soporte Tarjeta de Video Tarjeta de gráficos LED Rainbow Soporte de pandeo/Soporte de Funda, (GS05CF)",13.99
Tarjeta gráfica - Tarjeta gráfica VGA PCI 8MB 32Bit Accesorios para computadora de Escritorio Pantalla múltiple para ATI Rage XL,25.09
"KFA2 GeForce GTX 1070 EX PCI-E - Tarjeta gráfica Gaming, 8 GB negro",25.09
Gigabyte GeForce GTX 960 WF2OC-2GD - Tarjeta gráfica de 2 GB,25.09
NVIDIA T400 Perfil bajo OEM PCI-EXP 3.0 X16 LP 2GB GDDR6 128,152.54
GTX550Ti 6GB 192bit GDDR5 NVIDIA Tarjeta gráfica PCI-Express 2.0 HDMI Compatible con tarjetas de video para juegos con doble ventilador de refrigeración,217.05
"Tarjeta Gráfica para Juegos GTX960 de 4GB, Tarjeta Gráfica para Computadora PCI Express X16 GDDR5 de 4GB Y 128 bits con Doble Ventilador, HDMI, DP, DVI Y DisplayPort, Tarjeta Gráfica de Video 4K HDR",340.89
Tarjeta gráfica para Juegos de 1GB DDR5 Memoria de 128 bits Tarjeta gráfica PCI Express 3.0 Componentes de computadora para Juegos y Multimedia - Negro,90.89
"Gigabyte Technology GV-N1656OC-4GD Tarjeta gráfica NVIDIA GeForce GTX 1650 4 GB GDDR6, GV-N1656OC-4GD30",90.89
